,DATA,POTENCIA,RADIACAO,TEMPERATURA,P/R,R/P
312,2019-08-03 17,27.86,2393996.0,28.2,,85929.50466618809
313,2019-08-03 18,24.22,2029707.0,29.2,,83802.93146160198
314,2019-08-03 19,22.72,1483758.0,29.5,,65306.25
315,2019-08-03 20,21.3,727893.0,28.0,,34173.38028169014
316,2019-08-04 10,18.86,32259.0,12.3,,1710.4453870625664
317,2019-08-04 11,19.66,420914.0,15.6,,21409.664292980673
318,2019-08-04 12,22.44,1222.58,17.1,,54.482174688057036
319,2019-08-04 13,24.82,1867.6,19.3,,75.24576954069299
320,2019-08-04 14,19.76,2264255.0,21.5,,114587.80364372469
321,2019-08-04 15,19.9,2522845.0,23.9,,126776.13065326634
322,2019-08-04 16,20.02,2499411.0,25.0,,124845.7042957043
323,2019-08-04 17,20.28,2271273.0,26.2,,111995.71005917159
324,2019-08-04 18,21.26,1843847.0,25.6,,86728.45719661335
325,2019-08-04 19,21.38,1144136.0,25.0,,53514.312441534144
326,2019-08-04 20,20.9,529743.0,23.6,,25346.555023923447
327,2019-08-04 21,20.52,85289.0,22.7,,4156.384015594542
328,2019-08-05 10,37.9,20663.0,15.2,,545.197889182058
329,2019-08-05 11,37.78,193377.0,15.8,,5118.501852832186
330,2019-08-05 12,33.620000000000005,913434.0,19.4,,27169.363474122543
331,2019-08-05 13,33.739999999999995,1782286.0,23.9,,52824.12566686427
332,2019-08-05 14,35.44,2295402.0,26.8,,64768.67945823928
333,2019-08-05 15,36.88,1905027.0,26.4,,51654.74511930585
334,2019-08-05 16,36.32,2111231.0,27.1,,58128.606828193835
335,2019-08-05 17,30.06,2036978.0,27.9,,67763.73918829008
336,2019-08-05 18,25.46,1633484.0,29.3,,64158.83739198743
337,2019-08-05 19,22.46,1420783.0,27.4,,63258.37043633125
338,2019-08-05 20,20.66,767877.0,27.7,,37167.32817037754
339,2019-08-05 21,20.44,106322.0,26.0,,5201.663405088062
340,2019-08-06 10,35.62,16584.0,17.6,,465.5811341942729
341,2019-08-06 11,34.66,620202.0,20.8,,17893.88343912291
342,2019-08-06 12,33.480000000000004,1395824.0,22.8,,41691.27837514934
343,2019-08-06 13,35.23999999999999,1740971.0,22.9,,49403.26333711693
344,2019-08-06 14,40.9,1822766.0,24.1,,44566.405867970665
345,2019-08-06 15,42.7,1802001.0,25.2,,42201.428571428565
346,2019-08-06 16,36.86,2088552.0,27.2,,56661.74715138361
347,2019-08-06 17,32.74,1752161.0,26.9,,53517.440439828955
348,2019-08-06 18,24.38,1298428.0,26.7,,53257.916324856444
349,2019-08-06 19,17.799999999999994,1164564.0,27.4,,65424.94382022474
350,2019-08-06 20,15.62,575094.0,26.7,,36817.79769526249
351,2019-08-06 21,13.46,69532.0,24.5,,5165.824665676077
352,2019-08-07 10,35.78,21762.0,18.6,,608.2168809390721
353,2019-08-07 11,37.92,632376.0,21.3,,16676.58227848101
354,2019-08-07 12,32.46,1411.11,23.6,,43.472273567467646
355,2019-08-07 13,34.54,2030441.0,24.7,,58785.20555877244
356,2019-08-07 14,38.8,2444.37,26.6,,62.999226804123715
357,2019-08-07 15,40.22,2681.25,27.0,,66.66459472899055
358,2019-08-07 16,36.34,2720858.0,28.1,,74872.26197028067
359,2019-08-07 17,28.04,2515.62,28.3,,89.71540656205421
360,2019-08-07 18,24.08,2140864.0,28.5,,88906.31229235881
361,2019-08-07 19,18.8,1602987.0,28.7,,85265.26595744681
362,2019-08-07 20,16.24,889.87,27.6,,54.79495073891626
363,2019-08-07 21,14.02,50809.0,25.2,,3624.037089871612
364,2019-08-08 10,38.48,21247.0,13.6,,552.1569646569646
365,2019-08-08 11,38.84,639576.0,18.9,,16466.941297631307
366,2019-08-08 12,33.32,1407559.0,22.2,,42243.66746698679
367,2019-08-08 13,34.379999999999995,2035899.0,26.4,,59217.539267015716
368,2019-08-08 14,39.18,2456248.0,27.9,,62691.373149566105
369,2019-08-08 15,36.94,2665086.0,29.4,,72146.34542501354
370,2019-08-08 16,34.82,2701.2,30.3,,77.57610568638712
371,2019-08-08 17,29.48,2524022.0,30.0,,85618.11397557666
372,2019-08-08 18,24.9,2166975.0,30.5,,87027.10843373495
373,2019-08-08 19,15.36,1630565.0,29.9,,106156.57552083334
374,2019-08-08 20,13.62,909325.0,29.3,,66763.95007342144
375,2019-08-08 21,13.48,45316.0,26.0,,3361.721068249258
376,2019-08-09 10,40.94000000000001,27726.0,14.1,,677.2349780166095
377,2019-08-09 11,41.86,564209.0,19.6,,13478.475871954133
378,2019-08-09 12,36.84,1408226.0,23.3,,38225.461454940276
379,2019-08-09 13,36.18,2007513.0,27.7,,55486.81592039801
380,2019-08-09 14,38.74,2451.45,29.3,,63.27955601445534
381,2019-08-09 15,37.0,2542008.0,29.5,,68702.91891891892
382,2019-08-09 16,27.6,1601027.0,28.3,,58008.22463768116
383,2019-08-09 17,21.78,2716.78,29.9,,124.73737373737374
384,2019-08-09 18,17.220000000000002,1899123.0,30.6,,110285.88850174214
385,2019-08-09 19,15.46,1383738.0,30.2,,89504.39844760673
386,2019-08-09 20,14.739999999999998,715769.0,29.3,,48559.63364993216
387,2019-08-09 21,14.7,62154.0,27.3,,4228.163265306122
388,2019-08-10 11,26.16,537273.0,19.0,,20537.95871559633
389,2019-08-10 12,21.980000000000004,1398497.0,24.5,,63625.887170154674
390,2019-08-10 13,20.18,2004109.0,29.6,,99311.64519326066
391,2019-08-10 14,20.4,1448741.0,28.7,,71016.71568627452
392,2019-08-10 15,21.04,2452915.0,31.0,,116583.41254752853
393,2019-08-10 16,20.0,2151717.0,31.1,,107585.85
394,2019-08-10 17,18.68,2671552.0,30.6,,143016.70235546038
395,2019-08-10 18,17.98,1946704.0,30.7,,108270.52280311457
396,2019-08-10 19,17.96,1611318.0,31.6,,89717.03786191536
397,2019-08-10 20,17.459999999999994,898581.0,30.3,,51465.12027491411
398,2019-08-10 21,17.66,49095.0,27.6,,2780.0113250283125
399,2019-08-11 10,19.46,25481.0,15.2,,1309.4039054470709
400,2019-08-11 11,19.12,656713.0,19.4,,34346.91422594142
401,2019-08-11 12,18.34,1413913.0,24.3,,77094.49291166848
402,2019-08-11 13,18.58,2036314.0,29.9,,109597.09364908504
403,2019-08-11 14,18.48,2400652.0,30.4,,129905.41125541125
404,2019-08-11 15,18.3,2349871.0,31.1,,128408.25136612021
